File;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Albert6;CHI;stuff that needs;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;needs to;same-turn;recycling;;;;;;big repeat;;;
Albert6;;(2.0);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;stuff needs to be;same-turn;recycling;;;;;;big repeat;;;
Albert6;CHI;to be taken to;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;to;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;to;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;to the five;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;to;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;to five;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;to to one twenty five ten;same-turn;recycling;;;;;;;;;
Albert6;CHI;to be taken to;;;;;;;;;;;
Albert6;CHI;to;same-turn;searching;;;;;repetition search;;;;
Albert6;CHI;to;same-turn;searching;;;;;repetition search;;;;
Albert6;CHI;to the five;same-turn;searching;;;;;repetition search;;;;
Albert6;CHI;to;same-turn;searching;;;;;repetition search;;;;
Albert6;CHI;to five;same-turn;searching;;;;;repetition search;;;;
Albert6;CHI;to to one twenty five ten;same-turn;searching;;;;;repetition search;;;;
Albert6;CHI;I can't;;;;;;;;;;;
Albert6;MOT;and what's this thing;;;;;;;;;;;
Albert6;CHI;I can't do that;Third-turn;;;recycling;;;;small repeat;;;
Albert6;CHI;I don't like it;;;;;;;;;;;
Albert6;CHI;I don't like it;TRP;;;recycling;;;;big repeat;no uptake;;
Albert6;MOT;you don't like what;;;;;;;;;;;
Albert6;CHI;I don't like it;Third-turn;;;recycling;;;;big repeat;no uptake;;
Albert6;MOT;it's [time to] [scan] some[thing else];;;;;;;;;;;
Albert6;CHI;[why];;;;;;;;;overlap;;
Albert6;CHI;wh[y];same-turn;recycling;;;;;;small repeat;overlap;;
Albert6;CHI;[why do] we need to give it back;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;I'm packing;same-turn;aborting;;;;;;;;;
Albert6;CHI;I'm packing this up;same-turn;recycling;;;;;;big repeat;;;
Albert6;CHI;I'm packing it up;TRP;;replacing;;;;;;;;
Albert6;CHI;I'm packing this up;TRP;;replacing;;;;;;;;
Albert6;CHI;I'm;;;;;;;;;;;
Albert6;;(0.7);same-turn;searching;;;;short pause;pause search;;;;
Albert6;CHI;I'm packing this up;same-turn;recycling;;;;;;small repeat;;;
Albert6;;(0.6);;;;;;short pause;;;;;
Albert6;CHI;that's why I wanted to carry it home;;;;;;;;;;;
Albert6;CHI;xxx I'm gonna car(0.7)ry home;;;;;;short pause;;;;;
Albert6;;(0.9);same-turn;searching;;;;short pause;pause search;;;;
Albert6;CHI;um;same-turn;searching;;;;;small search;;;;
Albert6;CHI;you didn't have that;;;;;;;;;;;
Albert6;CHI;[you did not];same-turn;recycling;;;;;;big repeat;;;
Albert6;MOT;[what do you want];;;;;;;;;;;
Albert6;CHI;you didn't have that;;;;;;;;;;;
Albert6;CHI;[you did not];same-turn;aborting;;;;;;;overlap;;
Albert6;MOT;[what do you want];;;;;;;;;;;
Albert6;CHI;um um um that;same-turn;searching;;;;;small search;;;;
Albert6;CHI;um;same-turn;searching;;;;;small search;;;;
Albert6;CHI;I want;same-turn;aborting;;;;;;;;;
Albert6;CHI;I;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;I;same-turn;aborting;;;;;;;;;
Albert6;CHI;uh um [xxx];same-turn;searching;;;;;small search;;;;
Albert6;CHI;I'm gonna put it in;;;;;;;;;;;
Albert6;CHI;in;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;in that door for you to put it in your car;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;xxx;;;;;;;;;;;
Albert6;MOT;four;;;;;;;;;;;
Albert6;CHI;[her mom gonna knock];same-turn;aborting;;;;;;;overlap;;
Albert6;MOT;[five packages];;;;;;;;;;;
Albert6;CHI;her m[om xxx];Third-turn;;;recycling;;;;;;;
Albert6;CHI;it's Brian;;;;;;;;;;;
Albert6;MOT;is it Eddie;;;;;;;;;;;
Albert6;CHI;it's Brian;Third-position;;;;repetition;;;;no uptake;;
Albert6;CHI;I wan-;same-turn;aborting;;;;;;;;;
Albert6;MOT;whoa;;;;;;;;;;;
Albert6;CHI;I wanna do turn;Third-turn;;;recycling;;;;small repeat;;;
Albert6;MOT;[you wanna make it turn];;;;;;;;;;;
Albert6;CHI;[I- I want-];same-turn;recycling;;;;;;;overlap;;
Albert6;CHI;I wanna do a turn;same-turn;recycling;;;;;;big repeat;;;
Albert6;CHI;uh uh;same-turn;searching;;;;;small search;;;;
Albert4;CHI;it's a mirror;;;;;;;;;;;
Albert4;CHI;it's a mirror;same-turn;recycling;;;;;;big repeat;no uptake;;
Albert4;CHI;they're going;;;;;;;;;;;
Albert4;;(1.0);same-turn;searching;;;;long pause;pause search;;;;
Albert4;CHI;home;;;;;;;;;;;
Albert4;CHI;they;same-turn;aborting;;;;;;;;;
Albert4;;(2.5);;;;;;long pause;;;;;
Albert4;CHI;that's ps three over there;;;;;;;;;;;
Albert4;CHI;that's ps three over there;same-turn;recycling;;;;;;big repeat;no uptake;;
Albert4;CHI;there are two dogs;;;;;;;;;;;
Albert4;;(3.5);;;;;;long pause;;;;;
Albert4;CHI;there's- (0.6) there's two ;same-turn;recycling;;;;;pause search;;;;
Albert4;;(1.0);same-turn;searching;;;;long pause;;;;;
Albert4;CHI;pups xxx;Third-turn;;;replacing;;;;;;;
Albert4;CHI;that's a;;;;;;;;;;;
Albert4;;(1.6);same-turn;searching;;;;long pause;pause search;;;;
Albert4;CHI;that's a bunny carrot;same-turn;recycling;;;;;;;;;
Albert4;CHI;[that's a];same-turn;aborting;;;;;;;;;
Albert4;MOT;[show me the] horse;;;;;;;;;;;
Albert4;CHI;that's a hamster eating a carrot;Third-turn;;;recycling;;;;small repeat;overlap;;
Albert4;CHI;i see his clothes flying in the air (1.0) in the air;same-turn;recycling;;;;long pause;;big repeat;;;
Albert4;CHI;she's (0.5) he's getting undressed;same-turn;replacing;;;;;;;misspeak;;
Albert4;CHI;my;same-turn;aborting;;;;;;;;;
Albert4;CHI;I- I'm still playing with this;same-turn;reformatting;;;;;;;;;
Albert4;CHI;I- I'm still playing with this;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert4;CHI;mom we're play- we're playing tug of war;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert4;CHI;go on the road;;;;;;;;;;;
Albert4;CHI;it's going to go on the road;TRP;;recycling;;;;;;;;
Albert4;CHI;it's a road;TRP;;reformatting;;;;;;;;
Albert4;CHI;my;same-turn;aborting;;;;;;;;;
Albert4;CHI;my;same-turn;aborting;;;;;;;;;
Albert4;CHI;no, it's too;;;;;;;;;;;
Albert4;CHI;it's hot;same-turn;deleting;;;;;;;;;
Albert4;CHI;a road;;;;;;;;;;;
Albert4;CHI;for this;;;;;;;;;;;
Albert4;CHI;a road for this;TRP;;recycling;;;;;;;;
Albert2;CHI;there's a;;;;;;;;;;;
Albert2;;(6.0);same-turn;searching;;;;long pause;pause search;;;;
Albert2;CHI;there's a smiley face on the ball;same-turn;recycling;;;;;;small repeat;;;
Albert2;CHI;where's the other one;;;;;;;;;;;
Albert2;CHI;where's the other one;TRP;;recycling;;;;;big repeat;no uptake;;?
Albert2;CHI;where xxx;;;;;;;;;;;
Albert2;CHI;where;same-turn;aborting;;;;;;small repeat;;;
Albert2;CHI;where the other one go;same-turn;recycling;;;;;;big repeat;;;
Albert2;CHI;where the other one go;TRP;;recycling;;;;;big repeat;;;
Albert2;CHI;ma;;;;;;;;;;;
