;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Adam5;CHI;by my snakes;same-turn;replacing;;;;;;;;;
Adam5;CHI;don't make a;same-turn;aborting;;;;;;;;;
Adam5;CHI;remember don't get it to the line;TRP;;replacing;;;;;;;;
Adam5;CHI;well I'll give;same-turn;aborting;;;;;;;;;
Adam5;CHI;well elephants like peanuts too;same-turn;parenthesizing;;;;;;;;;
Adam5;CHI;I'll give you hay and peanuts;Third-turn;;;recycling;;;;;;;
Adam5;CHI;when the;same-turn;aborting;;;;;;;;;
Adam5;CHI;maybe you can;same-turn;aborting;;;;;;;;;
Adam5;MOT;here, let's pretend these gu[ys are];;;;;;;;;;;
Adam5;CHI;[these are a ri-];same-turn;aborting;;;;;;;;;
Adam5;CHI;these are rides;same-turn;recycling;;;;;;;overlap;;
Adam5;CHI;[these are a ri-];;;;;;;;;;;
Adam5;CHI;these are rides;same-turn;deleting;;;;;;;correcting grammar;;
Adam5;MOT;[stay in xxx];;;;;;;;;;;
Adam5;CHI;[Mickey you don't] know g-;same-turn;aborting;;;;;;;;;
Adam5;CHI;hey don't go I;TRP;;sequence-jumping;;;;;;;;
Adam5;CHI;I'm on the rollercoaster;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam5;CHI;why are;same-turn;aborting;;;;;;;;;
Adam5;CHI;why are you;same-turn;aborting;;;;;;;;;
Adam5;CHI;why are;;;;;;;;;;;
Adam5;CHI;why are you;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam5;CHI;yeah it is but;;;;;;;;;;;
Adam5;CHI;why the plane fly;;;;;;;;;;;
Adam5;CHI;flying low;same-turn;reformatting;;;;;;small repeat;correcting grammar;;
Adam5;CHI;but [the ride];same-turn;aborting;;;;;;;;;
Adam5;MOT;[stay in here];;;;;;;;;;;
Adam5;CHI;the ride going into the woods;Third-turn;;;recycling;;;;small repeat;overlap;;
Adam5;MOT;wh[ere's their car];;;;;;;;;;;
Adam5;CHI;[wait but wa]it;;replacing;;;;;;;overlap;replacing tone;
Adam5;CHI;only want;;;;;;;;;;;
Adam5;CHI;only want;same-turn;recycling;;;;;repetition search;big repeat;;;
Adam5;CHI;I only want;same-turn;recycling;;;;;repetition search;big repeat;;;
Adam5;CHI;I only want;same-turn;recycling;;;;;repetition search;big repeat;;;
Adam5;CHI;I only want;same-turn;recycling;;;;;repetition search;big repeat;;;
Adam3;CHI;it's t[ime];same-turn;aborting;;;;;;;overlap;;
Adam3;MOT;[does the e]lephant want to play with any of those toys;;;;;;;;;;;
Adam3;CHI;the baby likes to xxx;;;;;;;;;;;
Adam3;CHI;he likes to;TRP;;recycling;;;;;;;;
Adam3;CHI;to run his;same-turn;recycling;;;;;;small repeat;;irregular continuation;
Adam3;CHI;his friend elephant for sleepovers;same-turn;recycling;;;;;;small repeat;;irregular continuation;
Adam3;CHI;and teddy bear;;;;;;;;;;;
Adam3;CHI;the ice;same-turn;aborting;;;;;;;;;
Adam3;MOT;the ice cream bus is here;;;;;;;;small repeat;;;
Adam3;CHI;you can;;;;;;;;;;;
Adam3;CHI;have the one;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;CHI;the green one;TRP;;inserting;;;;;;;;
Adam3;CHI;from the;;;;;;;;;;;
Adam3;CHI;front of the line;;;;;;;;;;irregular continuation;
Adam3;CHI;from the;TRP;;recycling;;;;;;;;
Adam3;CHI;car;TRP;;replacing;;;;;;;irregular continuation;
Adam3;CHI;hear it when;same-turn;aborting;;;;;;;;;
Adam3;CHI;hear;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;hear were for elephant;same-turn;recycling;;;;;;small repeat;;;
Adam3;MOT;[Adam];;;;;;;;;;;
Adam3;CHI;[his];same-turn;aborting;;;;;;;overlap;;
Adam3;CHI;his friend;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;look it's;same-turn;aborting;;;;;;;;;
Adam3;CHI;this is;same-turn;replacing;;;;;;small repeat;;;
Adam3;CHI;his friend;;;;;;;;;;irregular continuation;
Adam3;CHI;[this is];;;;;;;;;;;
Adam3;MOT;do you [want me to tell him to look up and];;;;;;;;;;;
