;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other
AH4;CHI;the;same-turn;aborting;;;;;;;;
AH4;CHI;maybe- maybe- maybe the;same-turn;recycling;;;;;;small repeat;stuttering;
AH4;CHI;maybe- maybe- maybe the;same-turn;aborting;;;;;;;;
AH2;CHI;I want;same-turn;aborting;;;;;;;;
AH2;CHI;the;same-turn;aborting;;;;;;;;
AH2;CHI;no there not right there;same-turn;replacing;;;;;;;;
AH2;CHI;that;;;;;;;;;;
AH2;CHI;that momma;TRP;;recycling;;;;;small repeat;no uptake;
AH2;CHI;he's;;;;;;;;;;
AH2;CHI;he's in the running shoe;same-turn;recycling;;;;;;small repeat;stuttering;
AH2;CHI;in in hat;same-turn;recycling;;;;;;small repeat;stuttering;
AH2;CHI;want some more;;;;;;;;;;
AH2;CHI;want some more;TRP;;recycling;;;;;big repeat;no uptake;
AH2;CHI;I want I want pink balloon;same-turn;recycling;;;;;;small repeat;stuttering;
AH2;CHI;who that might be;;;;;;;;;;
AH2;CHI;look who that;TRP;;reformatting;;;;;;no uptake;
AH2;CHI;put my baby [in-];same-turn;aborting;;;;;;;overlap;
AH2;MOT;[you're] putting the baby in there;;;;;;;;;;
AH2;CHI;I gonna hold my baby;;;;;;;;;;
AH2;CHI;put my baby in;same-turn;replacing;;;;;;;;
AH2;CHI;also;;;;;;;;;;
AH2;MOT;yeah;;;;;;;;;;
AH2;CHI;also scary;Third-turn;;;recycling;;;;;;
AH2;CHI;on;same-turn;aborting;;;;;;;;
AH2;CHI;not on that;same-turn;replacing;;;;;;;;
AH2;CHI;I swing, [my- my-];same-turn;aborting;;;;;;;overlap;
AH2;MOT;[you s- you s]winging it a little bit;;;;;;;;;;
AH2;CHI;need, need, need;same-turn;recycling;;;;;repetition search;small repeat;stuttering;
AH2;CHI;I fall on at;same-turn;replacing;;;;;;;;
AH2;CHI;at someone house;same-turn;recycling;;;;;;small repeat;stuttering;
AH2;CHI;I fall at someone's house;TRP;;recycling;;;;;;;
AH2;CHI;baby do a new;;;;;;;;;;
AH2;CHI;do a new one;same-turn;recycling;;;;;;small repeat;stuttering;
AH2;CHI;baby, baby knock that over;same-turn;recycling;;;;;;small repeat;stuttering;
