;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
AD2;MOT;what are the [puppies doing];;;;;;;;;;;
AD2;CHI;[out];;;;;;;;;;;
AD2;MOT;look;;;;;;;;;;;
AD2;CHI;out;Third-turn;;;recycling;;;;small repeat;overlap;;
AD2;CHI;no;;;;;;;;;;;
AD2;CHI;no;TRP;;recycling;;;;;small repeat;;;
AD2;CHI;yeah;;;;;;;;;;;
AD2;CHI;yeah;TRP;;recycling;;;;;small repeat;;;
AD2;MOT;Addis[on];;;;;;;;;;;
AD2;CHI;[ba]by;;;;;;;;;;;
AD2;CHI;baby;TRP;;recycling;;;;;small repeat;overlap;;
AD2;CHI;xxx (powder?);;;;;;;;;;;
AD2;CHI;xxx (powder?);TRP;;recycling;;;;;small repeat;no uptake;;
