file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Albert6,CHI,to,same-turn,searching,NA,repetition search,NA,NA,NA
Albert6,CHI,to,same-turn,searching,NA,repetition search,NA,NA,NA
Albert6,CHI,to the five,same-turn,searching,NA,repetition search,NA,NA,NA
Albert6,CHI,to,same-turn,searching,NA,repetition search,NA,NA,NA
Albert6,CHI,to five,same-turn,searching,NA,repetition search,NA,NA,NA
Albert6,CHI,to to one twenty five ten,same-turn,searching,NA,repetition search,NA,NA,NA
Albert6,CHI,I can't do that,Third-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,I don't like it,TRP,recycling,NA,NA,big repeat,no uptake,NA
Albert6,CHI,I don't like it,Third-turn,recycling,NA,NA,big repeat,no uptake,NA
Albert6,CHI,[why],NA,NA,NA,NA,NA,overlap,NA
Albert6,CHI,wh[y],same-turn,recycling,NA,NA,small repeat,overlap,NA
Albert6,CHI,[why do] we need to give it back,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,I'm packing,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,I'm packing this up,same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,I'm packing it up,TRP,replacing,NA,NA,NA,NA,NA
Albert6,CHI,I'm packing this up,TRP,replacing,NA,NA,NA,NA,NA
Albert6,NA,(0.7),same-turn,searching,short pause,pause search,NA,NA,NA
Albert6,CHI,I'm packing this up,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,NA,(0.6),NA,NA,short pause,NA,NA,NA,NA
Albert6,CHI,xxx I'm gonna car(0.7)ry home,NA,NA,short pause,NA,NA,NA,NA
Albert6,NA,(0.9),same-turn,searching,short pause,pause search,NA,NA,NA
Albert6,CHI,um,same-turn,searching,NA,small search,NA,NA,NA
Albert6,CHI,[you did not],same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,[you did not],same-turn,aborting,NA,NA,NA,overlap,NA
Albert6,CHI,um um um that,same-turn,searching,NA,small search,NA,NA,NA
Albert6,CHI,um,same-turn,searching,NA,small search,NA,NA,NA
Albert6,CHI,I want,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,I,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,I,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,uh um [xxx],same-turn,searching,NA,small search,NA,NA,NA
Albert6,CHI,in,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,in that door for you to put it in your car,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,[her mom gonna knock],same-turn,aborting,NA,NA,NA,overlap,NA
Albert6,CHI,her m[om xxx],Third-turn,recycling,NA,NA,NA,NA,NA
Albert6,CHI,it's Brian,Third-position,repetition,NA,NA,NA,no uptake,NA
Albert6,CHI,I wan-,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,I wanna do turn,Third-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,[I- I want-],same-turn,recycling,NA,NA,NA,overlap,NA
Albert6,CHI,I wanna do a turn,same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,uh uh,same-turn,searching,NA,small search,NA,NA,NA
Albert4,CHI,it's a mirror,same-turn,recycling,NA,NA,big repeat,no uptake,NA
Albert4,NA,(1.0),same-turn,searching,long pause,pause search,NA,NA,NA
