file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Anthony4,CHI,[and the s one] the second one,same-turn,replacing,NA,NA,NA,overlap,replacing tone
Anthony2,CHI,win win win win,same-turn,recycling,NA,NA,small repeat,no uptake,NA
Anthony2,CHI,win win win,same-turn,recycling,NA,NA,small repeat,no uptake,NA
Anthony2,CHI,"see, xxx",Third-turn,recycling,NA,NA,small repeat,no uptake,NA
Anthony2,CHI,mmm hmm hmm,same-turn,searching,NA,small search,NA,NA,NA
Anthony2,CHI,um balloon,same-turn,searching,NA,small search,NA,NA,NA
Anthony2,CHI,[a] star a star,same-turn,recycling,NA,NA,small repeat,overlap,NA
Anthony2,CHI,xxx,Third-turn,recycling,NA,NA,small repeat,no uptake,NA
Anthony2,CHI,that's the,same-turn,aborting,NA,NA,NA,NA,NA
Anthony2,CHI,a wolf,Third-turn,recycling,NA,NA,NA,NA,NA
