file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Adam5,CHI,you,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,and you make the elephant enclosure,TRP,recycling,NA,NA,NA,NA,NA
Adam5,CHI,I never,NA,NA,short pause,NA,NA,NA,NA
Adam5,CHI,get bitten by a,NA,NA,short pause,NA,NA,NA,NA
Adam5,CHI,by my snakes,same-turn,replacing,NA,NA,NA,NA,NA
Adam5,CHI,don't make a,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,remember don't get it to the line,TRP,replacing,NA,NA,NA,NA,NA
Adam5,CHI,well I'll give,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,well elephants like peanuts too,same-turn,parenthesizing,NA,NA,NA,NA,NA
Adam5,CHI,I'll give you hay and peanuts,Third-turn,recycling,NA,NA,NA,NA,NA
Adam5,CHI,when the,same-turn,aborting,long pause,NA,NA,NA,NA
Adam5,CHI,maybe you can,same-turn,aborting,long pause,NA,NA,NA,NA
Adam5,CHI,[these are a ri-],same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,these are rides,same-turn,recycling,NA,NA,NA,overlap,NA
Adam5,CHI,these are rides,same-turn,deleting,NA,NA,NA,correcting grammar,NA
Adam5,CHI,[Mickey you don't] know g-,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,hey don't go I,TRP,sequence-jumping,NA,NA,NA,NA,NA
Adam5,CHI,I'm on the rollercoaster,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,why are,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,why are you,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,why are you,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,yeah it is but,NA,NA,short pause,NA,NA,NA,NA
Adam5,CHI,why the plane fly,NA,NA,short pause,NA,NA,NA,NA
Adam5,CHI,flying low,same-turn,reformatting,NA,NA,small repeat,correcting grammar,NA
Adam5,CHI,but [the ride],same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,the ride going into the woods,Third-turn,recycling,NA,NA,small repeat,overlap,NA
Adam5,CHI,[wait but wa]it,same-turn,replacing,NA,NA,NA,overlap,replacing tone
Adam5,CHI,only want,same-turn,recycling,NA,repetition search,big repeat,NA,NA
Adam5,CHI,I only want,same-turn,recycling,NA,repetition search,big repeat,NA,NA
Adam5,CHI,I only want,same-turn,recycling,NA,repetition search,big repeat,NA,NA
Adam5,CHI,I only want,same-turn,recycling,NA,repetition search,big repeat,NA,NA
Adam3,CHI,it's t[ime],same-turn,aborting,NA,NA,NA,overlap,NA
Adam3,CHI,the baby likes to xxx,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,he likes to,TRP,recycling,short pause,NA,NA,NA,NA
Adam3,CHI,to run his,same-turn,recycling,short pause,NA,small repeat,NA,NA
Adam3,CHI,his friend elephant for sleepovers,same-turn,recycling,short pause,NA,small repeat,NA,NA
Adam3,CHI,and teddy bear,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,the ice,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,you can,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,have the one,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,the green one,TRP,inserting,short pause,NA,NA,NA,NA
Adam3,CHI,from the,NA,NA,short pause,NA,NA,NA,NA
